tx,timestamp,block,output_amount0,output_amount1,output_liquidity,params
0x294f38cb42654407fcd0c84d139ad9ce0468fd080d00ad2f4e1c781faf138cb4,2023-04-05 01:13:58.000 UTC,2.7070674e+07,3228127769511105,108894740061483744749,1054102143521932124355,"{""tokenId"":7584,""amount0Desired"":3228127769511105,""amount1Desired"":108894740061483744749,""amount0Min"":0,""amount1Min"":0,""deadline"":1680657397}"
0xf07ea9bf65ef62a42089079f204bd8996077363f29748f3ed950436d70aa1aea,2023-04-05 01:17:01.000 UTC,2.7070735e+07,197257423403009496973,867660513592692135,6632618330891925417407,"{""tokenId"":7587,""amount0Desired"":197257423403009496973,""amount1Desired"":868814289788254081,""amount0Min"":0,""amount1Min"":0,""deadline"":1680658612}"
0xbf29492fae5c01e1b210fb2a6148344cae273802d5e9d146e4be183ce55f7bc2,2023-04-05 01:21:25.000 UTC,2.7070823e+07,4501282262623927610,9593670048916797,6686650176349120050,"{""tokenId"":7633,""amount0Desired"":4501282262623927610,""amount1Desired"":9596724201866785,""amount0Min"":4206447469743091665,""amount1Min"":8651035483195410,""deadline"":1680658873}"
0x92343646787aa32877b7ebe0f1059dfd6e9738b86bfb42b406b968c5fa2f2f1b,2023-04-05 01:22:25.000 UTC,2.7070843e+07,52407148688606049429,130434420116574353954,3252353998431084529169,"{""tokenId"":5283,""amount0Desired"":52407148688606049429,""amount1Desired"":130434420116574353954,""amount0Min"":48172619153338174881,""amount1Min"":114860803639551135247,""deadline"":1680658936}"
0xe5a8042671eddb011f384722904afa67600c90f1f3b0ab3b05f93d70db7bcfc9,2023-04-05 01:23:28.000 UTC,2.7070864e+07,818153106224097102862,2713534700759810408037,1194245645214335681015015,"{""tokenId"":5592,""amount0Desired"":818153106224097102862,""amount1Desired"":2713534700759810408037,""amount0Min"":506242364926281662271,""amount1Min"":1570971971497135550129,""deadline"":1680658996}"
0xe1747c7a75ff19734abecb9957d335c2b7c7f7e6a5971af0c1d3095de8756252,2023-04-05 01:26:04.000 UTC,2.7070916e+07,69999999999999999512,92865185358682130,5600438647816929337534,"{""tokenId"":7650,""amount0Desired"":69999999999999999512,""amount1Desired"":92994841408162395,""amount0Min"":0,""amount1Min"":0,""deadline"":1680659152}"
0x39af1ea80c56ec3f0d951d771f064df77e7898b008b0af812638b4a8d5b0d6d9,2023-04-05 01:29:28.000 UTC,2.7070984e+07,22660659585840723325,70191952995505246643,334498057909821332030,"{""tokenId"":5132,""amount0Desired"":22660659585840723325,""amount1Desired"":70191952995505246643,""amount0Min"":22225149931464191082,""amount1Min"":68590226216411293079,""deadline"":1680659347}"
0x62696f67b55bbfa809c37adfb28ce1a058a9ae2281e5681acc8bde4ee9465ef6,2023-04-05 01:31:56.000 UTC,2.7071031e+07,115646992150846688947,752028050924805591020,4893982376049172366707,"{""tokenId"":7661,""amount0Desired"":115646992150846688947,""amount1Desired"":752028050924805591020,""amount0Min"":109275392179221586445,""amount1Min"":728592491619935124741,""deadline"":1680659501}"
0x9cdac006d28266b0f8368eb292bdaa0029b2d4da75d17f01453d7355e52b8135,2023-04-05 01:35:46.000 UTC,2.7071106e+07,34151990619107183202,329285533409931410,12976728803542314874,"{""tokenId"":561,""amount0Desired"":34151990619107183202,""amount1Desired"":329391587740074953,""amount0Min"":33853510377384757006,""amount1Min"":325873229155578818,""deadline"":1680659728}"
0x4d50cdfc477be2bc25a4bb5f9eaade868012d36066519e46bc7d479130b880ab,2023-04-05 01:49:22.000 UTC,2.7071375e+07,3031904737933433429,260471182575146502,8893207347223831076,"{""tokenId"":4360,""amount0Desired"":3031904737933433429,""amount1Desired"":260471182575146502,""amount0Min"":2946270149145457681,""amount1Min"":254713249113992551,""deadline"":1680660541}"
